Symbol,S-Oil_시가(원),S-Oil_종가(원),S-Oil_거래량(주),S-Oil_PER(IFRS-연결),S-Oil_순매수수량(개인)(주),S-Oil_순매수수량(기관계)(주),S-Oil_순매수수량(외국인계)(주)
2004-03-08,40750.0,44500.0,386790.0,19.83,-109400,-70400,183070
2004-03-09,44450.0,46200.0,156246.0,20.59,-40319,56879,-18230
2004-03-10,46600.0,44900.0,146260.0,20.01,-7820,-31350,40420
2004-03-11,45000.0,41900.0,422362.0,18.67,23766,-114386,98230
2004-03-12,42450.0,40400.0,354872.0,18.0,74770,-144170,77700
2004-03-15,40100.0,40400.0,168505.0,18.0,27110,190,-26180
2004-03-16,40850.0,42300.0,153419.0,18.85,-56530,40550,28660
2004-03-17,43050.0,44600.0,162900.0,19.87,-14630,10640,25350
2004-03-18,44400.0,42800.0,181250.0,19.07,36710,-40800,31740
2004-03-19,43800.0,43300.0,87410.0,19.29,-13940,13680,10780
2004-03-22,42850.0,41450.0,151590.0,18.47,39360,-87340,65330
2004-03-23,42000.0,43000.0,136210.0,19.16,-25940,11610,11720
2004-03-24,42200.0,41400.0,194410.0,18.45,52480,-59220,7970
2004-03-25,41400.0,43300.0,222071.0,19.29,-100770,34030,53340
2004-03-26,42500.0,44300.0,157305.0,19.74,-48460,100400,-48580
2004-03-29,45000.0,46000.0,130895.0,20.5,-32110,60030,-660
2004-03-30,45500.0,46300.0,97041.0,20.63,6235,-13180,27635
2004-03-31,47000.0,46000.0,141550.0,20.5,32160,-61250,53250
2004-04-01,45550.0,44800.0,144545.0,19.96,39505,-40420,7805
2004-04-02,44700.0,44500.0,152781.0,19.83,15830,-22120,-2150
2004-04-06,45000.0,44900.0,203030.0,20.01,62750,-32550,-10190
2004-04-07,45000.0,45050.0,184501.0,20.07,14040,-17630,35910
2004-04-08,45050.0,48200.0,286372.0,21.48,-100728,21448,62980
2004-04-09,48200.0,48750.0,168175.0,21.72,-20620,-38160,69750
2004-04-12,48700.0,54000.0,290680.0,24.06,-84700,95430,11420
2004-04-13,54700.0,54000.0,165150.0,24.06,-3490,6720,9020
2004-04-14,52000.0,52700.0,161516.0,23.48,15190,14760,-29600
2004-04-16,51000.0,49000.0,298461.0,21.83,108320,-83640,-8280
2004-04-19,48900.0,49000.0,228707.0,21.83,77268,-73741,3720
2004-04-20,49500.0,48950.0,135171.0,21.81,8666,17674,-19260
2004-04-21,49700.0,52300.0,337717.0,23.3,28774,-36424,6650
2004-04-22,52000.0,52000.0,184151.0,23.17,35940,-68110,41400
2004-04-23,52500.0,52000.0,202562.0,23.17,-30080,53510,-27520
2004-04-26,51700.0,50000.0,158111.0,22.28,15640,-32230,22740
2004-04-27,50000.0,50000.0,126490.0,22.28,-12570,28740,-24660
2004-04-28,51000.0,49250.0,129016.0,21.95,26645,-55355,36010
2004-04-29,49100.0,48500.0,388432.0,21.61,-25710,132880,-131960
2004-04-30,50500.0,46800.0,300840.0,20.85,39980,72530,-110150
2004-05-03,47500.0,48300.0,249050.0,21.52,-34310,66550,-39220
2004-05-04,48300.0,46000.0,140050.0,20.5,50790,-12780,-29130
2004-05-06,46350.0,42300.0,247591.0,18.85,24000,25880,-61110
2004-05-07,42700.0,40050.0,333540.0,17.85,84552,-8560,-67062
2004-05-10,40050.0,37950.0,336418.0,16.91,-5910,-70660,89280
2004-05-11,37950.0,39600.0,412462.0,17.65,3910,-40090,23160
2004-05-12,39250.0,41150.0,423030.0,18.34,31810,-77922,47712
2004-05-13,42500.0,38850.0,382830.0,17.31,108040,-161500,88270
2004-05-14,40200.0,37600.0,474486.0,16.75,39470,-156630,136560
2004-05-17,38500.0,37950.0,405810.0,16.91,-55480,20320,22010
2004-05-18,39200.0,38350.0,416016.0,17.09,31270,10830,-40440
2004-05-19,38450.0,41200.0,455956.0,18.36,7606,-10556,8950
2004-05-20,41000.0,39900.0,460832.0,17.78,94560,-75500,-10200
2004-05-21,41000.0,42400.0,476145.0,18.89,-98940,10560,88280
2004-05-24,43100.0,44600.0,518942.0,19.87,-44030,-69100,127710
2004-05-25,44000.0,43500.0,288719.0,19.38,78620,-65940,-4540
2004-05-27,44700.0,44800.0,365188.0,19.96,7957,44860,-51597
2004-05-28,45950.0,45850.0,336700.0,20.43,-30330,-11550,46730
2004-05-31,45100.0,48000.0,384224.0,21.39,-102070,12160,112530
2004-06-01,49000.0,49000.0,500723.0,21.83,-94250,37200,59830
2004-06-02,49050.0,48000.0,242528.0,21.39,33340,-22250,1680
2004-06-03,48500.0,45000.0,197580.0,20.05,15830,-4590,-2750
2004-06-04,45350.0,47300.0,203624.0,21.08,-33930,7110,30420
2004-06-07,47100.0,50000.0,297010.0,22.28,-97532,128220,-4110
2004-06-08,49600.0,48850.0,303232.0,21.77,56902,46020,-64490
2004-06-09,49450.0,47000.0,275200.0,20.94,1400,10270,18160
2004-06-10,47000.0,46600.0,417622.0,20.76,59040,2580,-132670
2004-06-11,46950.0,45000.0,276512.0,20.05,49880,-142990,110410
2004-06-14,44850.0,43500.0,209107.0,19.38,5760,-13420,13660
2004-06-15,44600.0,48000.0,342515.0,21.39,-107570,22890,110010
2004-06-16,47900.0,47500.0,206102.0,21.17,-19230,1340,35280
2004-06-17,48800.0,48350.0,218901.0,21.54,-54407,18247,43650
2004-06-18,48350.0,48500.0,257116.0,21.61,8550,-57560,92040
2004-06-21,48800.0,49900.0,368440.0,22.23,-114512,51032,93840
2004-06-22,49900.0,49300.0,168276.0,21.97,4945,2065,1690
2004-06-23,49900.0,48050.0,175390.0,21.41,21390,-29790,17520
2004-06-24,48500.0,49750.0,169006.0,22.17,-67490,79160,-28270
2004-06-25,49050.0,48300.0,235790.0,21.52,81360,50290,-140130
2004-06-28,48600.0,47350.0,195645.0,21.1,49770,-27100,-22600
2004-06-29,46700.0,48550.0,161170.0,21.63,-73600,76830,-9590
2004-06-30,48050.0,48200.0,115617.0,21.48,21910,15900,-36870
2004-07-01,47700.0,47600.0,125665.0,21.21,12890,-3730,-6980
2004-07-02,46650.0,45050.0,167305.0,20.07,92790,-56310,-22430
2004-07-05,45300.0,46150.0,124001.0,20.56,8260,-30280,27110
2004-07-06,45500.0,47150.0,110390.0,21.01,-57570,28680,23200
2004-07-07,46700.0,49250.0,190113.0,21.95,-76040,10030,63610
2004-07-08,49500.0,48750.0,296310.0,21.72,-21280,-68090,99850
2004-07-09,49050.0,48000.0,108300.0,21.39,-20880,10910,-3510
2004-07-12,49000.0,47950.0,155580.0,21.37,18020,-13540,7660
2004-07-13,49200.0,48100.0,66688.0,21.43,4840,-2600,1700
2004-07-14,47800.0,46800.0,148820.0,20.85,72421,-24990,-32321
2004-07-15,46500.0,47600.0,92602.0,21.21,-5450,7750,-6170
2004-07-16,47600.0,47750.0,149148.0,21.28,-20460,-12790,37950
2004-07-19,48100.0,51300.0,293840.0,22.86,-123277,35638,103180
2004-07-20,50700.0,50300.0,253377.0,22.41,5307,-68637,83500
2004-07-21,50600.0,53400.0,302110.0,23.79,-39570,31930,36640
2004-07-22,52200.0,55000.0,561680.0,24.51,-27460,-109050,169690
2004-07-23,55200.0,53000.0,354057.0,23.62,46307,-76577,31400
2004-07-26,53000.0,53800.0,218161.0,23.97,-26328,6948,28670
2004-07-27,53800.0,57500.0,188222.0,25.62,-45510,14100,26940
2004-07-28,57500.0,54800.0,361705.0,24.42,58400,80410,-138160
2004-07-29,55700.0,51900.0,335667.0,23.13,71354,5766,-101480
2004-07-30,52600.0,51600.0,256971.0,22.99,12960,31130,-80300
2004-08-02,51000.0,49050.0,273426.0,21.86,82928,-55008,-36210
2004-08-03,50400.0,51600.0,200991.0,22.99,-43920,-22200,72750
2004-08-04,51500.0,51000.0,346693.0,22.72,23690,22010,-47160
2004-08-05,51100.0,50700.0,392560.0,22.59,45517,7553,-47530
2004-08-06,50200.0,50200.0,262203.0,22.37,-9441,-63459,72270
2004-08-09,50700.0,52000.0,231197.0,23.17,-49101,32821,13300
2004-08-10,52500.0,52700.0,153540.0,23.48,-80,-13040,18890
2004-08-11,53100.0,53500.0,207167.0,23.84,-40140,-24710,67740
2004-08-12,53500.0,53900.0,364942.0,24.02,-16330,68550,-26460
2004-08-13,54000.0,52900.0,297321.0,23.57,86070,-41330,-16800
2004-08-16,53500.0,52400.0,163700.0,23.35,22216,-17736,300
2004-08-17,53000.0,50500.0,251859.0,22.5,97376,27094,-125990
2004-08-18,50100.0,50300.0,155934.0,22.41,53630,28480,-76520
2004-08-19,51000.0,52400.0,188620.0,23.35,-86825,59075,39220
2004-08-20,52300.0,53000.0,154941.0,23.62,-57170,24900,50470
2004-08-23,53300.0,52800.0,148721.0,23.53,-2820,3390,5280
2004-08-24,53000.0,52600.0,141330.0,23.44,-16330,14130,2070
2004-08-25,52100.0,51300.0,253591.0,22.86,107529,28561,-131510
2004-08-26,51200.0,50700.0,223120.0,22.59,139870,-12980,-121740
2004-08-27,50500.0,49700.0,232542.0,22.15,70530,21970,-88150
2004-08-30,49500.0,49200.0,177080.0,21.92,82640,-18840,-60300
2004-08-31,48600.0,49200.0,160704.0,21.92,38320,23300,-49630
2004-09-01,48900.0,51200.0,224735.0,22.81,-62110,42070,33430
2004-09-02,50600.0,50800.0,185689.0,22.64,55990,-16080,-32180
2004-09-03,50900.0,50500.0,214190.0,22.5,-22130,-9380,31490
2004-09-06,51200.0,52500.0,260590.0,23.39,-125291,82900,45350
2004-09-07,52200.0,52300.0,128780.0,23.3,-31930,22920,23290
2004-09-08,51800.0,51000.0,183546.0,22.72,-33116,6766,26480
2004-09-09,51000.0,52100.0,293410.0,23.21,-16546,-39550,8580
2004-09-10,52000.0,52200.0,152780.0,23.26,16851,-28670,15520
2004-09-13,52200.0,51800.0,218659.0,23.08,21792,66118,-70620
2004-09-14,52100.0,51200.0,141951.0,22.81,8750,-10690,1980
2004-09-15,51700.0,52200.0,154980.0,23.26,-57430,1900,53720
2004-09-16,52700.0,54000.0,432895.0,24.06,-136531,163800,-18790
2004-09-17,53500.0,54900.0,174435.0,24.46,-54447,-41593,95750
2004-09-20,56400.0,59800.0,430840.0,26.65,-177860,770,171000
2004-09-21,59800.0,59200.0,229794.0,26.38,-37990,27790,9020
2004-09-22,59000.0,54900.0,357195.0,24.46,52202,-40492,-13670
2004-09-23,54500.0,54000.0,172020.0,24.06,53590,-9940,-44170
2004-09-24,54600.0,56900.0,204395.0,25.35,-62120,-27930,91990
2004-09-30,56900.0,57200.0,196066.0,25.49,13975,36120,-51265
2004-10-01,57400.0,58000.0,149782.0,25.84,-18142,22680,-3058
2004-10-04,59000.0,59000.0,281910.0,26.29,-38550,73410,-16110
2004-10-05,58100.0,57500.0,174722.0,25.62,40353,-1733,-38770
2004-10-06,57500.0,58000.0,114911.0,25.84,-18395,25815,-8560
2004-10-07,58500.0,58900.0,421720.0,26.24,-98210,36350,79580
2004-10-08,58900.0,58600.0,249261.0,26.11,-43633,6903,36370
2004-10-11,57300.0,59000.0,152987.0,26.29,-27660,23320,12170
2004-10-12,60000.0,59900.0,315590.0,26.69,-57800,-76940,159130
2004-10-13,59600.0,59700.0,133500.0,26.6,-38894,-24206,61290
2004-10-14,59600.0,58700.0,153700.0,26.16,7922,-50652,51340
2004-10-15,57300.0,57600.0,196630.0,25.67,42170,-52420,25890
2004-10-18,58800.0,57200.0,108962.0,25.49,30910,-2810,-23580
2004-10-19,58300.0,57200.0,169036.0,25.49,-28990,48880,-22460
2004-10-20,57000.0,54000.0,149649.0,24.06,50716,-5086,-48230
2004-10-21,55000.0,54200.0,173620.0,24.15,32407,-46387,36400
2004-10-22,54500.0,57000.0,177046.0,25.4,-61036,2486,59160
2004-10-25,54300.0,55000.0,246300.0,24.51,128410,-73860,-45240
2004-10-26,56000.0,56300.0,195154.0,25.09,-39251,-11009,53210
2004-10-27,57000.0,59000.0,323891.0,26.29,-87697,-13143,106570
2004-10-28,58400.0,58500.0,136732.0,26.07,-26770,50180,-24550
2004-10-29,57900.0,56500.0,241624.0,25.18,71375,-61990,16015
2004-11-01,56800.0,56600.0,110612.0,25.22,5208,-12058,6850
2004-11-02,57500.0,58000.0,255743.0,25.84,-124188,84178,42450
2004-11-03,58500.0,60000.0,207043.0,26.74,-89819,22372,76907
2004-11-04,60500.0,60900.0,146370.0,27.14,-52910,-2130,84310
2004-11-05,60900.0,61400.0,135130.0,27.36,-48722,76532,-15610
2004-11-08,61800.0,59600.0,114486.0,26.56,6956,-57686,54810
2004-11-09,60000.0,60700.0,105475.0,27.05,-33305,-21515,60430
2004-11-10,61400.0,60500.0,167985.0,26.96,-32187,85457,-47250
2004-11-11,61400.0,59900.0,265215.0,26.69,1627,17853,-18090
2004-11-12,60200.0,64100.0,388037.0,28.56,-99375,105035,47940
2004-11-15,63300.0,64000.0,208400.0,28.52,-58015,8225,63330
2004-11-16,64500.0,62800.0,106826.0,27.98,24196,-36796,12350
2004-11-17,64500.0,62900.0,178256.0,28.03,-286,56346,-57620
2004-11-18,63100.0,64200.0,185630.0,28.61,-11440,-19470,23600
2004-11-19,64200.0,61700.0,137499.0,27.49,55869,-32769,-16710
2004-11-22,60000.0,59700.0,210522.0,26.6,60080,-80780,14630
2004-11-23,60000.0,61500.0,192320.0,27.4,-112750,25630,87120
2004-11-24,61500.0,63200.0,271730.0,28.16,-128430,58060,63360
2004-11-25,62800.0,63500.0,193563.0,28.29,-64270,2850,59450
2004-11-26,64800.0,62400.0,353950.0,27.8,-30230,-33070,60570
2004-11-29,64800.0,63800.0,150630.0,28.43,-12604,2060,10630
2004-11-30,64500.0,65800.0,275405.0,29.32,-46380,-15210,64180
2004-12-01,66300.0,67000.0,182472.0,29.85,-73780,14380,59400
2004-12-02,67600.0,65700.0,327835.0,29.27,-14400,62460,-50210
2004-12-03,66500.0,69200.0,245724.0,30.83,-139950,77600,63150
2004-12-06,68000.0,67000.0,255350.0,29.85,26777,-51857,27020
2004-12-07,67000.0,67300.0,183890.0,29.99,-13090,-37460,48180
2004-12-08,67500.0,66300.0,304310.0,29.54,15464,15316,-29710
2004-12-09,65700.0,64600.0,585264.0,28.78,112110,-1610,-116630
2004-12-10,65500.0,63900.0,235184.0,28.47,-19890,-7680,23600
2004-12-13,63100.0,64200.0,235020.0,28.61,-99690,45230,53440
2004-12-14,65400.0,65800.0,271359.0,29.32,-55818,-19732,77050
2004-12-15,67100.0,67100.0,197590.0,29.9,-70690,21130,49290
2004-12-16,68000.0,67200.0,228566.0,29.94,-52020,17020,35080
2004-12-17,67000.0,63700.0,288277.0,28.38,96900,62790,-164100
2004-12-20,64500.0,66200.0,145809.0,29.5,-65916,35030,27830
2004-12-21,66300.0,66400.0,139659.0,29.59,-18483,-440,58510
2004-12-22,68500.0,67300.0,88632.0,29.99,-27452,29012,23750
2004-12-23,67900.0,65000.0,162311.0,28.96,30251,-60842,52180
2004-12-24,65000.0,65000.0,0.0,28.96,0,0,0
2004-12-27,66900.0,67000.0,188045.0,29.85,-53742,25243,80890
2004-12-28,67500.0,67000.0,142385.0,29.85,4786,44824,-23150
2004-12-29,64500.0,66400.0,122567.0,29.59,-43750,34090,19660
2004-12-30,67400.0,67000.0,94677.0,29.85,-48910,38200,10710
2005-01-03,65900.0,65000.0,66746.0,8.05,18600,-7170,-11770
2005-01-04,65500.0,64100.0,100070.0,7.94,30090,-3630,-38930
2005-01-05,63000.0,61900.0,238025.0,7.67,138341,1669,-140030
2005-01-06,61900.0,60000.0,243099.0,7.43,82600,-19540,-63670
2005-01-07,59700.0,56000.0,375765.0,6.94,108863,-17593,-94960
2005-01-10,56000.0,59300.0,372537.0,7.35,-54880,-19060,73930
2005-01-11,59000.0,59200.0,339115.0,7.34,-16240,8710,7530
2005-01-12,59200.0,59000.0,172261.0,7.31,6700,-4240,-3470
2005-01-13,59800.0,59000.0,184164.0,7.31,7599,-5679,-27660
2005-01-14,58600.0,59900.0,354764.0,7.42,-29190,60790,-33030
2005-01-17,60000.0,61000.0,304450.0,7.56,-36120,320,36100
2005-01-18,61100.0,60000.0,194529.0,7.43,28170,150,-27790
2005-01-19,60200.0,61000.0,146771.0,7.56,-29800,5890,22930
2005-01-20,60400.0,60800.0,229069.0,7.53,-64310,-10750,75290
2005-01-21,63400.0,65200.0,439866.0,8.08,-150610,89950,58690
2005-01-24,65000.0,68000.0,391450.0,8.43,-74870,-4900,69630
2005-01-25,67100.0,65500.0,233589.0,8.12,35900,12780,-61090
2005-01-26,65000.0,68700.0,288488.0,8.51,-47579,45619,-510
2005-01-27,67200.0,68000.0,192260.0,8.43,-18510,10040,8580
2005-01-28,68000.0,64200.0,195465.0,7.95,92107,5353,-99000
2005-01-31,64000.0,66000.0,161594.0,8.18,-56789,49329,590
2005-02-01,65200.0,64900.0,112900.0,8.04,12380,-22950,13790
2005-02-02,64000.0,64400.0,105230.0,7.98,27940,-23750,-5070
2005-02-03,63600.0,63500.0,108860.0,7.87,37807,1893,-37150
2005-02-04,63100.0,62600.0,189947.0,7.76,48762,-21150,-27267
2005-02-07,62200.0,62600.0,167410.0,7.76,22640,-29170,11790
2005-02-11,63000.0,62500.0,224310.0,7.74,87307,-93470,25053
2005-02-14,62600.0,62100.0,546882.0,7.69,70298,33990,-73388
2005-02-15,62100.0,62400.0,181970.0,7.73,59570,-34950,-21530
2005-02-16,62300.0,62400.0,186990.0,7.73,18564,-37234,20930
2005-02-17,62600.0,64900.0,315442.0,8.04,-101852,-19328,117570
2005-02-18,65000.0,66000.0,254632.0,8.18,-84230,20000,61870
2005-02-21,68200.0,70000.0,661197.0,8.67,-202891,-39559,266220
2005-02-22,70000.0,73000.0,359690.0,9.04,-110405,-17365,120180
2005-02-23,72700.0,73400.0,260631.0,9.09,-40855,39585,-9490
2005-02-24,73700.0,72700.0,251207.0,9.01,10405,28335,-39260
2005-02-25,72700.0,75400.0,168595.0,9.34,-56830,14280,46570
2005-02-28,74500.0,73000.0,307591.0,9.04,15169,-3069,-10790
2005-03-02,73100.0,73200.0,363116.0,9.07,15266,-67520,83824
2005-03-03,74000.0,74000.0,105191.0,9.17,-32330,18860,20840
2005-03-04,75000.0,78000.0,308070.0,9.66,-62740,-15280,73030
2005-03-07,80000.0,82000.0,464231.0,10.16,-17665,-66085,33810
2005-03-08,85000.0,83300.0,286570.0,10.32,9970,-32410,55370
2005-03-09,87000.0,83000.0,400592.0,10.28,12940,-35120,77040
2005-03-10,83000.0,77800.0,516245.0,9.64,74830,59310,-83930
2005-03-11,76900.0,80600.0,255650.0,9.99,-65160,76580,-32660
2005-03-14,79100.0,78200.0,135650.0,9.69,23800,-28180,7040
2005-03-15,78000.0,74600.0,202597.0,9.24,65067,-43217,-15930
2005-03-16,75500.0,72400.0,452705.0,8.97,110390,75740,-194960
2005-03-17,72800.0,76000.0,660869.0,9.42,-7969,46329,-57320
2005-03-18,77500.0,83000.0,713207.0,10.28,-130246,43030,75766
2005-03-21,82700.0,79000.0,266433.0,9.79,-4214,57900,-56796
2005-03-22,77700.0,79800.0,205694.0,9.89,-52974,5434,44150
2005-03-23,77700.0,79000.0,180834.0,9.79,-32550,-44360,75910
2005-03-24,79000.0,74500.0,328951.0,9.23,38720,19820,-61430
2005-03-25,74500.0,75600.0,131441.0,9.37,-360,5670,-5530
2005-03-28,75600.0,77000.0,122018.0,9.54,-52740,14230,29950
2005-03-29,75700.0,76200.0,178972.0,9.44,-12030,-78850,90080
2005-03-30,76100.0,77300.0,160248.0,9.58,1940,27960,-29610
2005-03-31,77400.0,78800.0,153501.0,9.76,-22160,23190,-3020
2005-04-01,81000.0,81200.0,152310.0,10.06,-37700,31430,3460
2005-04-04,82000.0,83000.0,157360.0,10.28,-54120,8350,51150
2005-04-06,81300.0,81000.0,429180.0,10.04,8170,36230,-44520
2005-04-07,80500.0,80000.0,254360.0,9.91,-40310,14580,23870
2005-04-08,80000.0,84300.0,258360.0,10.44,-94846,-11411,105080
2005-04-11,84600.0,85600.0,273962.0,10.61,-97120,-46800,144100
2005-04-12,86000.0,86400.0,157360.0,10.71,-55210,2830,54970
2005-04-13,85800.0,84300.0,188569.0,10.44,-3020,-9030,13060
2005-04-14,82400.0,79000.0,508850.0,9.79,138250,-192370,42630
2005-04-15,79900.0,80700.0,282164.0,10.0,26250,-75820,56310
2005-04-18,78100.0,77100.0,183488.0,9.55,3740,10220,-12110
2005-04-19,76500.0,76200.0,233667.0,9.44,-2150,-26350,37500
2005-04-20,77100.0,78300.0,249707.0,9.7,-18610,-39750,75200
2005-04-21,77000.0,77500.0,118092.0,9.6,-9040,8260,1090
2005-04-22,78600.0,76000.0,215437.0,9.42,64920,-600,-61930
2005-04-25,76000.0,75700.0,202335.0,9.38,4190,22090,-42490
2005-04-26,76100.0,77000.0,238075.0,9.54,-84980,-13100,96220
2005-04-27,76100.0,75700.0,158898.0,9.38,13860,-45210,43880
2005-04-28,75700.0,72600.0,230001.0,9.0,49448,6020,-59578
2005-04-29,71100.0,69200.0,225829.0,8.57,34260,41550,-80840
2005-05-02,69800.0,69700.0,158627.0,8.64,-10763,-7487,20470
2005-05-03,69200.0,68600.0,163173.0,8.5,-1960,-31870,35270
2005-05-04,68200.0,74000.0,240743.0,9.17,-121220,17650,103450
2005-05-06,74000.0,77600.0,271281.0,9.61,-110360,-7330,115840
2005-05-09,78300.0,77800.0,212250.0,9.64,-30800,-31260,76570
2005-05-10,77800.0,77700.0,90268.0,9.63,-40110,17000,21140
2005-05-11,76900.0,76300.0,115937.0,9.45,-2982,-28748,33320
2005-05-12,76100.0,75800.0,128204.0,9.39,-17470,32040,-7150
2005-05-13,75000.0,72800.0,253819.0,9.02,53980,-27930,-26650
2005-05-16,72000.0,73200.0,187592.0,9.07,-18020,69070,-50610
2005-05-17,73900.0,73300.0,189233.0,9.08,-49820,-900,50720
2005-05-18,74000.0,73200.0,211523.0,9.07,-22070,24760,-2490
2005-05-19,74000.0,74700.0,252622.0,9.26,-70148,92558,-35820
2005-05-20,74700.0,73700.0,128291.0,9.13,12310,8500,-24850
2005-05-23,73900.0,73300.0,93574.0,9.08,-1400,8350,-7740
2005-05-24,73500.0,73600.0,100434.0,9.12,-13670,11830,-10
2005-05-25,72500.0,70900.0,2906153.0,8.78,-1161515,77295,1093510
2005-05-26,72300.0,72400.0,146580.0,8.97,360,11190,-13960
2005-05-27,72600.0,73600.0,249089.0,9.12,-105885,48935,25180
2005-05-30,74000.0,73900.0,112931.0,9.16,-47400,2970,43460
2005-05-31,74000.0,74500.0,140516.0,9.23,-31426,18636,10690
2005-06-01,75500.0,76800.0,281049.0,9.52,-122928,35498,83040
2005-06-02,78000.0,76100.0,285754.0,9.43,11620,43340,-53280
2005-06-03,75900.0,75900.0,194987.0,9.4,-21633,62083,-40910
2005-06-07,76100.0,75600.0,153278.0,9.37,-19218,11138,9700
2005-06-08,74600.0,76900.0,309454.0,9.53,-93180,94750,-6010
2005-06-09,75600.0,78500.0,367864.0,9.73,-55690,45340,34030
2005-06-10,78000.0,77700.0,123274.0,9.63,-11161,21701,-12250
2005-06-13,77100.0,77700.0,109257.0,9.63,-24210,56010,-32750
2005-06-14,77700.0,77300.0,145164.0,9.58,-32336,15426,7430
2005-06-15,76000.0,78000.0,143922.0,9.66,-59090,35130,11120
2005-06-16,78000.0,79800.0,168480.0,9.89,-94490,43100,34710
2005-06-17,80900.0,79000.0,288521.0,9.79,25138,-12438,-16710
2005-06-20,80500.0,79400.0,178686.0,9.84,49100,-1170,-47880
2005-06-21,80000.0,82300.0,472208.0,10.2,-250150,78660,153590
2005-06-22,81400.0,83300.0,237029.0,10.32,-111450,45546,60684
2005-06-23,83000.0,84300.0,280891.0,10.44,-96740,-27020,120930
2005-06-24,84800.0,84000.0,338544.0,10.41,-37635,-116165,150540
2005-06-27,84100.0,83300.0,152360.0,10.32,21265,-43745,25320
2005-06-28,83300.0,82500.0,155140.0,10.22,3220,31480,-41580
2005-06-29,81000.0,82500.0,247029.0,10.22,-44340,12581,30649
2005-06-30,81100.0,82500.0,188491.0,10.22,-34240,-9350,44150
2005-07-01,81800.0,82600.0,165373.0,10.23,-18410,-24250,47040
2005-07-04,82600.0,83000.0,227570.0,10.28,-45904,-38566,68220
2005-07-05,82200.0,83500.0,155141.0,10.35,-31500,26640,5820
2005-07-06,82700.0,82900.0,141342.0,10.27,33579,-42159,5400
2005-07-07,82400.0,83000.0,235488.0,10.28,-12058,22290,-65672
2005-07-08,82200.0,82400.0,162813.0,10.21,-10356,-7640,21256
2005-07-11,82100.0,82200.0,361553.0,10.18,-20460,36330,-13310
2005-07-12,81100.0,80500.0,197763.0,9.97,33540,-27950,5570
2005-07-13,80000.0,78400.0,563305.0,9.71,59380,32560,-90660
2005-07-14,77500.0,77400.0,580836.0,9.59,52951,43039,-102030
2005-07-15,76800.0,77600.0,271026.0,9.61,6764,-17524,11420
2005-07-18,76000.0,76100.0,323018.0,9.43,29720,-21910,-7790
2005-07-19,76100.0,76000.0,234569.0,9.42,23131,42201,-66272
2005-07-20,75700.0,77600.0,569221.0,9.61,-30869,-15731,46530
2005-07-21,77700.0,78200.0,230855.0,9.69,-45585,4745,41580
2005-07-22,77000.0,80000.0,301739.0,9.91,-102545,87530,8180
2005-07-25,79300.0,79400.0,181445.0,9.84,-57135,72965,-15730
2005-07-26,79000.0,78800.0,233600.0,9.76,6128,-14878,12360
2005-07-27,78800.0,79100.0,229989.0,9.8,-26040,-40800,63310
2005-07-28,79100.0,79100.0,228902.0,9.8,-14060,-19530,-15680
2005-07-29,78800.0,78200.0,205954.0,9.69,12327,6293,-7470
2005-08-01,78100.0,77500.0,243949.0,9.6,-8866,67406,-53210
2005-08-02,77400.0,79400.0,306270.0,9.84,-38840,-48850,88910
2005-08-03,79000.0,78000.0,321082.0,9.66,-22785,17505,12990
2005-08-04,77500.0,79200.0,242402.0,9.81,-37281,49341,-15250
2005-08-05,79000.0,77900.0,252416.0,9.65,-2767,50307,-79480
2005-08-08,75200.0,79000.0,205760.0,9.79,-36038,28630,8168
2005-08-09,79100.0,79700.0,257137.0,9.87,-35601,-44760,79981
2005-08-10,79500.0,80500.0,254041.0,9.97,-78666,-11744,83880
2005-08-11,80600.0,81500.0,292061.0,10.1,-70900,12830,50190
2005-08-12,81500.0,81600.0,346536.0,10.11,-24068,-3576,33334
2005-08-16,80800.0,80500.0,217240.0,9.97,-45720,46410,-200
2005-08-17,80400.0,80100.0,221380.0,9.92,-36810,31780,14030
2005-08-18,78900.0,78000.0,477285.0,9.66,51655,36085,-77580
2005-08-19,77500.0,77600.0,197221.0,9.61,510,-30680,36640
2005-08-22,77600.0,78000.0,154948.0,9.66,-23822,66952,-48390
2005-08-23,78800.0,79000.0,158202.0,9.79,-40990,2730,37820
2005-08-24,78300.0,78300.0,280313.0,9.7,17153,-128353,39170
2005-08-25,77800.0,78100.0,157941.0,9.68,-17050,5680,13400
2005-08-26,77700.0,77700.0,109870.0,9.63,-19400,-21150,42580
2005-08-29,76500.0,76900.0,113113.0,9.53,-19190,-8420,25980
2005-08-30,76900.0,76600.0,178822.0,9.49,-2230,-20820,23860
2005-08-31,77400.0,76600.0,184450.0,9.49,-12166,-26994,39310
2005-09-01,78500.0,82000.0,1451509.0,10.16,-308060,-176920,468290
2005-09-02,85000.0,84100.0,1048429.0,10.42,-291540,-128610,431740
2005-09-05,84100.0,84000.0,351464.0,10.41,-76815,54225,17880
2005-09-06,83100.0,83000.0,260822.0,10.28,-74568,116788,-52290
2005-09-07,82100.0,82700.0,211002.0,10.25,-100538,39838,61700
2005-09-08,83000.0,84100.0,458003.0,10.42,-76524,100634,-50000
2005-09-09,83000.0,83000.0,119841.0,10.28,-38718,41542,-2164
2005-09-12,82500.0,84000.0,162954.0,10.41,-54580,17330,11430
2005-09-13,84400.0,84000.0,123560.0,10.41,-30100,-14370,16480
